customer_id,bad_flag,loan_amt_requested,mort_due,current_property_value,loan_reason,job,years_on_job,no_of_derog,no_of_delinq,age_of_oldest_cl,no_of_recent_credit_inquiries,no_of_cl,debt_to_income_ratio,loan_to_value_ratio,cl_delinquency_ratio,approx_income,combined_ltv_ratio,income_groups
CUST0001,1,1100,25860.0,39025.0,HomeImp,Other,10.5,0,0,94.36666667,1,9,35.24522428,0.02818706,0.0,73371.64261,0.690839205637412,MED
CUST0002,1,1300,70053.0,68400.0,HomeImp,Other,7.0,0,2,121.8333333,0,14,35.24522428,0.019005848,0.142857143,198758.843,1.0431725146198831,HIGH
CUST0003,1,1500,13500.0,16700.0,HomeImp,Other,4.0,0,0,149.4666667,1,10,35.24522428,0.089820359,0.0,38303.06169,0.8982035928143712,LOW
CUST0004,0,1700,97800.0,112000.0,HomeImp,Office,3.0,0,0,93.33333333,0,14,36.17090549,0.015178571,0.0,270383.057,0.8883928571428571,HIGH
CUST0005,1,1700,30548.0,40320.0,HomeImp,Other,9.0,0,0,101.4660019,1,8,37.11361356,0.042162698,0.0,82309.41984,0.7998015873015873,MED
CUST0006,1,1800,48649.0,57037.0,HomeImp,Other,5.0,3,2,77.1,1,17,35.24522428,0.031558462,0.117647059,138030.048,0.8844960288935253,MED
CUST0007,1,1800,28502.0,43034.0,HomeImp,Other,11.0,0,0,88.76602988,0,8,36.88489409,0.041827392,0.0,77272.82591,0.704140911837152,MED
CUST0008,1,2000,32700.0,46740.0,HomeImp,Other,3.0,0,2,216.9333333,1,12,35.24522428,0.042789902,0.166666667,92778.5272,0.7424047924689773,MED
CUST0009,1,2000,43280.13929,62250.0,HomeImp,Sales,16.0,0,0,115.8,0,13,35.76405836,0.032128514,0.0,121015.7383,0.7273917958232932,MED
CUST0010,1,2000,20627.0,29800.0,HomeImp,Office,11.0,0,1,122.5333333,1,9,36.17090549,0.067114094,0.111111111,57026.49608,0.7592953020134228,MED
CUST0011,1,2000,45000.0,55000.0,HomeImp,Other,3.0,0,0,86.06666667,2,25,35.24522428,0.036363636,0.0,127676.8723,0.8545454545454545,MED
CUST0012,0,2000,64536.0,87400.0,NonProvided,Mgr,2.5,0,0,147.1333333,0,24,35.63137756,0.022883295,0.0,181121.26,0.7612814645308924,HIGH
CUST0013,1,2100,71000.0,83850.0,HomeImp,Other,8.0,0,1,123.0,0,16,35.24522428,0.025044723,0.0625,201445.7318,0.8717948717948718,HIGH
CUST0014,1,2200,24280.0,34687.0,HomeImp,Other,8.0,0,1,300.8666667,0,8,35.24522428,0.063424338,0.125,68888.76576,0.7633983913281633,MED
CUST0015,1,2200,90957.0,102600.0,HomeImp,Mgr,7.0,2,6,122.9,1,22,35.63137756,0.021442495,0.272727273,255272.1961,0.907962962962963,HIGH
CUST0016,1,2300,28192.0,40150.0,HomeImp,Other,4.5,0,0,54.6,1,16,35.24522428,0.057285181,0.0,79988.14186,0.7594520547945205,MED
CUST0017,0,2300,102370.0,120953.0,HomeImp,Office,2.0,0,0,90.99253347,0,13,31.58850318,0.019015651,0.0,324073.6018,0.8653774606665399,HIGH
CUST0018,1,2300,37626.0,46200.0,HomeImp,Other,3.0,0,1,122.2666667,1,14,35.24522428,0.04978355,0.071428571,106754.8888,0.8641991341991342,MED
CUST0019,1,2400,50000.0,73395.0,HomeImp,ProfExe,5.0,1,0,0.0,1,0,33.37804123,0.032699775,0.0,149799.0839,0.7139450916274951,MED
CUST0020,1,2400,28000.0,40800.0,HomeImp,Mgr,12.0,0,0,67.2,2,22,35.63137756,0.058823529,0.0,78582.42346,0.7450980392156863,MED
CUST0021,1,2400,18000.0,45228.55613,HomeImp,Mgr,22.0,0,2,121.7333333,0,10,35.63137756,0.053063821,0.2,50517.27222,0.45104247726512603,MED
CUST0022,1,2400,11108.26177,17180.0,HomeImp,Other,8.0,0,0,14.56666667,3,4,35.24522428,0.139697322,0.0,31517.06932,0.7862783335273573,LOW
CUST0023,1,2400,34863.0,47471.0,HomeImp,Mgr,12.0,0,0,70.49108003,1,21,38.26360073,0.050557182,0.0,91112.70067,0.7849634513703103,MED
CUST0024,0,2400,98449.0,117195.0,HomeImp,Office,4.0,0,0,93.81177486,0,13,29.68182705,0.020478689,0.0,331681.0648,0.8605230598575024,HIGH
