customer_id,bad_flag,loan_amt_requested,mort_due,current_property_value,years_on_job,no_of_derog,no_of_delinq,age_of_oldest_cl,no_of_recent_credit_inquiries,no_of_cl,debt_to_income_ratio,cl_delinquency_ratio,approx_income,combined_ltv_ratio,loan_reason_homeImp,job_mgr,job_office,job_profExe,job_sales,job_self,income_group_high,income_group_lowMed,job_other_nonProvided,loan_reason_debtCon_np
CUST0001,1,1100,25860.0,39025.0,10.5,0,0,94.36666667,1,9,35.24522428,0.0,73371.64261,0.690839205637412,1,0,0,0,0,0,0,1,1,0
CUST0002,1,1300,70053.0,68400.0,7.0,0,2,121.8333333,0,14,35.24522428,0.142857143,198758.843,1.0431725146198831,1,0,0,0,0,0,1,0,1,0
CUST0003,1,1500,13500.0,16700.0,4.0,0,0,149.4666667,1,10,35.24522428,0.0,38303.06169,0.8982035928143712,1,0,0,0,0,0,0,1,1,0
CUST0004,0,1700,97800.0,112000.0,3.0,0,0,93.33333333,0,14,36.17090549,0.0,270383.057,0.8883928571428571,1,0,1,0,0,0,1,0,0,0
CUST0005,1,1700,30548.0,40320.0,9.0,0,0,101.4660019,1,8,37.11361356,0.0,82309.41984,0.7998015873015873,1,0,0,0,0,0,0,1,1,0
CUST0006,1,1800,48649.0,57037.0,5.0,3,2,77.1,1,17,35.24522428,0.117647059,138030.048,0.8844960288935253,1,0,0,0,0,0,0,1,1,0
CUST0007,1,1800,28502.0,43034.0,11.0,0,0,88.76602988,0,8,36.88489409,0.0,77272.82591,0.704140911837152,1,0,0,0,0,0,0,1,1,0
CUST0008,1,2000,32700.0,46740.0,3.0,0,2,216.9333333,1,12,35.24522428,0.166666667,92778.5272,0.7424047924689773,1,0,0,0,0,0,0,1,1,0
CUST0009,1,2000,43280.13929,62250.0,16.0,0,0,115.8,0,13,35.76405836,0.0,121015.7383,0.7273917958232932,1,0,0,0,1,0,0,1,0,0
CUST0010,1,2000,20627.0,29800.0,11.0,0,1,122.5333333,1,9,36.17090549,0.111111111,57026.49608,0.7592953020134228,1,0,1,0,0,0,0,1,0,0
CUST0011,1,2000,45000.0,55000.0,3.0,0,0,86.06666667,2,25,35.24522428,0.0,127676.8723,0.8545454545454545,1,0,0,0,0,0,0,1,1,0
CUST0012,0,2000,64536.0,87400.0,2.5,0,0,147.1333333,0,24,35.63137756,0.0,181121.26,0.7612814645308924,0,1,0,0,0,0,1,0,0,1
CUST0013,1,2100,71000.0,83850.0,8.0,0,1,123.0,0,16,35.24522428,0.0625,201445.7318,0.8717948717948718,1,0,0,0,0,0,1,0,1,0
